"Cluster","Gender","Age","Median","SEM"
1,"F",3,-1.03259011792759,0.395382527934243
1,"F",6,-1.22867517791956,0.142563650154991
1,"F",12,-0.396763029251452,0.15980767686464
1,"F",18,0.214106966157651,0.490468135234886
1,"F",24,0.600863665529976,0.163807116427357
1,"F",30,1.45668663876235,0.288068976563039
1,"M",3,-0.532153778192414,0.346061776587939
1,"M",6,-0.532686938927153,0.156540041269513
1,"M",12,-0.325502377426698,0.401126780935184
1,"M",18,0.535329841014498,0.299171094841488
1,"M",24,1.18445080090516,0.236596625065376
1,"M",30,0.372183887349224,0.514028539706144
2,"F",3,-0.920828636645128,0.119623619029338
2,"F",6,-0.624103541796344,0.148838250173849
2,"F",12,-0.0186733312002235,0.143494476919821
2,"F",18,0.557010213716786,0.119767487296595
2,"F",24,0.614014470020583,0.154734294825138
2,"F",30,0.960224237640269,0.153295840257179
2,"M",3,-1.01008108690967,0.180992222125296
2,"M",6,-0.958904503635755,0.180779072137287
2,"M",12,-0.0879317535197936,0.123793281660156
2,"M",18,0.331585992524634,0.182259860391661
2,"M",24,0.893441764831739,0.129258988091869
2,"M",30,0.595616903544558,0.173226161750629
3,"F",3,0.480510172011889,0.310341955374264
3,"F",6,0.17535368182196,0.413962877317877
3,"F",12,-0.181550474813096,0.553942473239879
3,"F",18,0.703767016016837,0.40277458563203
3,"F",24,-1.25977785524359,0.086503397628103
3,"F",30,-1.22607590921509,0.374567481212031
3,"M",3,1.57764592346531,0.29312925498142
3,"M",6,0.557342273466957,0.232333320708179
3,"M",12,0.271275027294206,0.385419619851323
3,"M",18,-0.129860494781812,0.455344855244692
3,"M",24,-0.654341407178531,0.17496654610671
3,"M",30,-0.38854002082746,0.316642591732035
4,"F",3,0.277973126384587,0.238454573876446
4,"F",6,-0.634096169007894,0.344915305019315
4,"F",12,-1.18482082509691,0.200667234099348
4,"F",18,-0.826295333787816,0.423393403586784
4,"F",24,-0.715376499234593,0.520634229437619
4,"F",30,-0.712128684772476,0.274909184398847
4,"M",3,0.641166424404004,0.299998266322627
4,"M",6,-0.0216196687114339,0.37448884907863
4,"M",12,0.458991633146847,0.202982918713635
4,"M",18,1.01624997704524,0.182168116432001
4,"M",24,-0.132611805955924,0.359432866321764
4,"M",30,1.26027054272349,0.601202449680178
