"GN","b1_s13_M_3","b2_s2_M_3","b2_s10_M_3","b3_s16_M_3","b1_s12_F_3","b2_s7_F_3","b2_s16_F_3","b3_s14_F_3"
"Syp",NA,NA,NA,NA,NA,NA,NA,NA
"SV2a",NA,NA,NA,NA,NA,NA,NA,NA
"Vamp2",NA,NA,NA,NA,NA,NA,NA,NA
"Atp6v0a1",23.0009693911988,22.9650391704667,22.6535799949867,22.7978191337277,23.1026782801418,22.7243129162932,22.8107821275957,22.9597877716096
"SYT1",NA,NA,NA,NA,NA,NA,NA,NA
"dlg4",18.3951592099533,18.5818166511572,18.2745321994579,18.2519927914053,18.4508107406119,18.2518606001772,18.3113453628597,18.4241849663283
"GRIA3",NA,NA,NA,NA,NA,NA,NA,NA
"GRIA2",NA,NA,NA,NA,NA,NA,NA,NA
"ANKS1B",NA,NA,NA,NA,NA,NA,NA,NA
"Homer1",NA,NA,NA,NA,NA,NA,NA,NA
"Actb",23.0638081571704,22.7818180774567,22.2849690874949,22.8615254990479,22.6294763794074,23.7867058603354,22.321303324692,22.2028711538956
"Map2",NA,NA,NA,NA,NA,NA,NA,NA
"Mapt",NA,NA,NA,NA,NA,NA,NA,NA
"Nefm",NA,NA,NA,NA,NA,NA,NA,NA
"Sptan1",NA,NA,NA,NA,NA,NA,NA,NA
"Tubb3",NA,NA,NA,NA,NA,NA,NA,NA
"SCARB2",NA,NA,NA,NA,NA,NA,NA,NA
"LAMP1",NA,NA,NA,NA,NA,NA,NA,NA
"LAMP2",NA,NA,NA,NA,NA,NA,NA,NA
"ACP2",15.8907654345665,16.2095873528312,15.9527916539669,16.0546137404683,16.3473480721059,16.100246848213,16.4405551638522,15.8910672519406
"CTSD",16.6749801080506,16.8512949062251,17.165919508222,16.8848002785617,16.9420672248314,17.0511422871786,17.1736295092108,16.6861251207526
"EEA1",14.9654092109411,14.8246954385757,14.4956828129971,15.1756228070279,14.8086735062196,15.1377017382117,14.5541802426552,14.9461246705609
"RUFY2",NA,NA,NA,NA,NA,NA,NA,NA
"RUFY1",NA,NA,NA,NA,NA,NA,NA,NA
"DNAJC13",20.2505170544848,20.3017766970815,20.3654274569486,20.2986419494348,20.5473282191637,20.3728651461755,20.6195267684523,20.4746041026772
"SNX2",NA,NA,NA,NA,NA,NA,NA,NA
"Plin2",NA,NA,NA,NA,NA,NA,NA,NA
"Lss",NA,NA,NA,NA,NA,NA,NA,NA
"Acsl3",16.3751995396808,15.8648664461207,15.7661130544041,15.9418640960777,16.0649623801686,15.6740206410187,15.5735308992435,16.0097157880557
"faf2",16.0473934145124,15.8214409465033,16.4681230489382,16.115079633547,16.0993051108641,15.9950410415893,16.0582317409495,15.9745288061109
"lpcat1",NA,NA,NA,NA,NA,NA,NA,NA
"Hsp90b1",NA,NA,NA,NA,NA,NA,NA,NA
"P4HB",NA,NA,NA,NA,NA,NA,NA,NA
"Calr",18.4377670610424,18.6878952350645,19.4144792198609,19.2519992815086,19.5791692334728,19.2238867189932,19.5650975180396,18.8796479831418
"Atp2a2",18.7372766530854,18.9266607810099,19.0170370880064,19.2266374373055,19.400613666879,18.5881553295214,18.9082589924751,19.1805354704264
"Rtn1",NA,NA,NA,NA,NA,NA,NA,NA
"Sec63",NA,NA,NA,NA,NA,NA,NA,NA
"LMAN1",NA,NA,NA,NA,NA,NA,NA,NA
"tfg",NA,NA,NA,NA,NA,NA,NA,NA
"sec22b",NA,NA,NA,NA,NA,NA,NA,NA
"yif1b",NA,NA,NA,NA,NA,NA,NA,NA
"Tmem115",NA,NA,NA,NA,NA,NA,NA,NA
"yipf4",NA,NA,NA,NA,NA,NA,NA,NA
"Galnt2",NA,NA,NA,NA,NA,NA,NA,NA
"Acbd3",14.6929098375729,14.15151109185,13.4327879557323,14.2123084281798,14.1363904772679,14.1113890204894,13.7898796699436,14.493687180867
"man1a2",NA,NA,NA,NA,NA,NA,NA,NA
"SLC3A2",NA,NA,NA,NA,NA,NA,NA,NA
"BASP1",16.4103302336753,16.9891536217821,17.0049287095307,17.0089479119477,16.4519120801933,17.4577534900267,16.7932778889698,16.9594667281539
"ATP1A1",21.9856073575109,22.2003004436141,22.0158931041233,22.1578253376717,22.340998700883,22.0200580682203,22.1593964047682,22.3585206891242
"L1CAM",NA,NA,NA,NA,NA,NA,NA,NA
"CD44",NA,NA,NA,NA,NA,NA,NA,NA
"vdac1",NA,NA,NA,NA,NA,NA,NA,NA
"PHB",NA,NA,NA,NA,NA,NA,NA,NA
"Hspd1",NA,NA,NA,NA,NA,NA,NA,NA
"IMMT",NA,NA,NA,NA,NA,NA,NA,NA
"ACO2",14.6126706048744,13.7129763228747,17.2586260581398,14.596112452693,14.6024292849054,13.9873043056981,13.8829439742476,14.7542954081731
"ABCD3 (PMP70)",NA,NA,NA,NA,NA,NA,NA,NA
"PEX12",NA,NA,NA,NA,NA,NA,NA,NA
"PEX3",NA,NA,NA,NA,NA,NA,NA,NA
"CAT",NA,NA,NA,NA,NA,NA,NA,NA
"ACOT8",NA,NA,NA,NA,NA,NA,NA,NA
